Índice,Projeto,EUS,Estimativa
71,Projeto 9,"Como usuário, quero poder criar coleções, dar nome a elas, e adicionar qualquer jogo que eu tenha na biblioteca nestas coleções que estarão disponíveis em uma biblioteca de coleções.",6
72,Projeto 9,"Como usuário, quero der duas opções de como meus jogos irão ser apresentados na biblioteca, em forma de ícones e nomes ou em forma de lista e nomes.",6
73,Projeto 10,"Como usuário, quero me cadastrar no aplicativo, para que eu me atualize quanto a contaminação por vírus na área comercial local.",2
74,Projeto 10,"Como usuário, quero logar no sistema, para ter acesso a todos os recursos do aplicativo.",2
75,Projeto 10,"Como usuário, quero permitir que o sistema registre meu deslocamento, para que o mesmo informe os proprietários dos comércios que frequentei caso eu esteja contaminado.",3
76,Projeto 10,"Como usuário, quero informar ao aplicativo meus status de saúde, para cooperar na identificação de locais contaminados.",4
77,Projeto 10,"Como usuário, quero ser notificado quanto ao status de contaminação do comércio local, para reconhecer as áreas com menores e maiores riscos.",9
78,Projeto 10,"Como usuário, quero receber diagnósticos com base no meu feedback semanal, para identificar se estou possivelmente contaminado por vírus.",8
79,Projeto 10,"Como usuário, quero poder compartilhar gráficos fornecidos pelo app em outras plataformas, para alertar meus contatos quanto ao percentual de contaminação local.",9
80,Projeto 10,"Como empreendedor, quero ser notificado quanto à necessidade de higienização do meu comércio, para evitar a disseminação do vírus agilmente.",8
81,Projeto 11,"Como usuário, quero poder checar as rotas dos ônibus para que eu possa saber onde vou, caso resolva pegá-lo.",4
82,Projeto 11,"Como usuário, quero poder consultar o menu para ter acesso a todas as funcionalidades do aplicativo.",2
83,Projeto 11,"Como usuário, quero poder checar o tempo que o ônibus levará para chegar no ponto/terminal de ônibus onde estou, para assim melhor me programar.",4
84,Projeto 11,"Como usuário, quero poder checar o tempo de atraso em relação a previsão inicial de chegada do ônibus, para assim melhor me programar.",5
85,Projeto 11,"Como usuário, quero poder saber a localização atual do ônibus, para que assim possa saber o quão perto ou longe o mesmo está.",7
86,Projeto 11,"Como usuário, quero poder comprar a passagem do ônibus pelo aplicativo, facilitando assim meu dia a dia, e possibilitando o uso imediato do transporte público.",6
87,Projeto 11,"Como usuário, quero poder avaliar os motoristas de ônibus para que futuramente tenha uma melhor viagem .",4
88,Projeto 11,"Como usuário, quero poder me cadastrar na plataforma para facilitar o meu acesso a mesma, podendo comprar passagens, ver históricos de ônibus os quais utilizei.",5
89,Projeto 12,"Como técnico, quero consultar o menu, para que eu possa encontrar a peça que desejo comprar, para realizar o conserto.",2
90,Projeto 12,"Como técnico, quero realizar um cadastro para ter acesso ao sistema de compra e venda das peças",5
91,Projeto 12,"Como vendedor, quero realizar o cadastro do produto no estoque para que a compra do pretendido seja realizada.",5
92,Projeto 12,"Como técnico, quero comprovar com cnpj e certificado de cnpj que realmente trabalho com consertos de aparelhos celulares.",5
93,Projeto 12,"Como vendedor, quero informar quantidade de peças que foram vendidas para serem enviadas ao comprador/técnico.",5
94,Projeto 12,"Como comprador, quero avaliar o vendedor após a compra para deixar registrado no perfil do vendedor a nota.",2
95,Projeto 12,"Como comprador, quero realizar o pagamento no sistema, para que o produto possa ser enviado.",5
96,Projeto 12,"Como comprador, quero inserir a minha localização, para o sistema filtrar os fornecedores que enviam, para minha região.",4
97,Projeto 13,"Como usuário, quero criar uma conta, para que eu curtir e salvar musicas.",4
98,Projeto 13,"Como usuário, quero poder curtir musicas e playlists, para poder aumentar a popularidade dela e mostrar que gostei dela.",3
99,Projeto 13,"Como usuário, quero poder logar em minha conta, pra poder gerenciar as musicas.",2
100,Projeto 13,"Como usuário, quero poder escolher a categoria de musica e playlists, para que eu possa ouvir a musica ou playlist que desejo.",3
101,Projeto 13,"Como usuário, quero poder escolher a música que quero ouvir.",3
102,Projeto 13,"Como usuário, quero poder criar minhas próprias playlists, para que eu e outras pessoas possamos ouvi-las.",5
103,Projeto 13,"Como usuário, quero poder escolher uma playlist, para que eu possa ouvi-la.",3
104,Projeto 13,"Como usuário, quero poder escolher a opção de criar radio, para que eu possa escutar músicas similares a que escolhi",3
